onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
1023.98000	5.000	1	Right	1	1	1
1053.38000	5.000	1	Center	1	1	1
1079.92000	5.000	1	Right	1	1	1
1105.70000	5.000	1	Right	1	1	1
1133.40000	5.000	1	Right	1	1	1
1164.48000	5.000	1	Center	1	1	1
1190.52000	5.000	1	Right	1	1	1
1216.98000	5.000	1	Center	0	1	0
1247.18000	5.000	1	Center	1	1	1
1286.30000	5.000	1	Right	1	1	1
1314.76000	5.000	1	Right	1	1	1
1341.92000	5.000	1	Left	0	1	0
1371.72000	5.000	1	Right	1	1	1
1397.88000	5.000	1	Center	1	1	1
1428.46000	5.000	1	Right	1	1	1
1459.38000	5.000	1	Left	1	1	1
1487.42000	5.000	1	Left	1	1	1
1515.02000	5.000	1	Center	1	1	1
1545.30000	5.000	1	Left	1	1	1
1573.86000	5.000	1	Left	1	1	1
1605.70000	5.000	1	Left	1	1	1
1634.32000	5.000	1	Right	0	1	0
1668.98000	5.000	1	Center	1	1	1
1694.66000	5.000	1	Right	1	1	1
1723.18000	5.000	1	Center	1	1	1
1752.04000	5.000	1	Center	1	1	1
1777.84000	5.000	1	Center	1	1	1
1802.88000	5.000	1	Right	1	1	1
1828.78000	5.000	1	Center	1	1	1
1857.72000	5.000	1	Left	1	1	1
1882.36000	5.000	1	Left	1	1	1
1913.32000	5.000	1	Left	1	1	1
1942.32000	5.000	1	Center	1	1	1
1968.72000	5.000	1	Left	1	1	1
1997.10000	5.000	1	Right	1	1	1
2023.12000	5.000	1	Right	1	1	1
2053.50000	5.000	1	Left	1	1	1
2080.72000	5.000	1	Right	1	1	1
2108.14000	5.000	1	Center	1	1	1
2134.68000	5.000	1	Center	1	1	1
2160.16000	5.000	1	Center	1	1	1
2189.70000	5.000	1	Left	1	1	1
2217.68000	5.000	1	Left	1	1	1
2247.18000	5.000	1	Center	1	1	1
2282.70000	5.000	1	Left	1	1	1
2311.62000	5.000	1	Right	1	1	1
2336.66000	5.000	1	Center	1	1	1
2364.24000	5.000	1	Left	1	1	1
2394.06000	5.000	1	Left	1	1	1
2420.24000	5.000	1	Center	1	1	1
2447.26000	5.000	1	Center	1	1	1
2474.42000	5.000	1	Left	1	1	1
2501.24000	5.000	1	Left	1	1	1
2530.88000	5.000	1	Left	1	1	1
2558.34000	5.000	1	Center	1	1	1
2587.96000	5.000	1	Right	1	1	1
2615.06000	5.000	1	Left	1	1	1
2639.70000	5.000	1	Right	1	1	1
2667.32000	5.000	1	Center	1	1	1
2695.00000	5.000	1	Left	1	1	1
2721.30000	5.000	1	Center	1	1	1
2749.58000	5.000	1	Center	1	1	1
2779.74000	5.000	1	Left	1	1	1
2807.64000	5.000	1	Right	1	1	1
2832.80000	5.000	1	Left	1	1	1
2863.10000	5.000	1	Right	1	1	1
2891.84000	5.000	1	Right	1	1	1
2928.14000	5.000	1	Right	1	1	1
2953.88000	5.000	1	Center	1	1	1
2979.68000	5.000	1	Center	1	1	1
3006.04000	5.000	1	Right	1	1	1
3032.36000	5.000	1	Right	1	1	1
3060.10000	5.000	1	Right	1	1	1
3087.06000	5.000	1	Right	1	1	1
3113.20000	5.000	1	Left	1	1	1
3143.54000	5.000	1	Center	1	1	1
3168.60000	5.000	1	Left	1	1	1
3199.24000	5.000	1	Left	1	1	1
3223.96000	5.000	1	Right	1	1	1
3250.74000	5.000	1	Left	1	1	1
3278.34000	5.000	1	Left	1	1	1
3310.94000	5.000	1	Center	1	1	1
3337.26000	5.000	1	Left	1	1	1
3367.28000	5.000	1	Center	1	1	1
3393.40000	5.000	1	Right	1	1	1
3425.38000	5.000	1	Left	1	1	1
3451.54000	5.000	1	Right	1	1	1
3475.66000	5.000	1	Right	1	1	1
3502.42000	5.000	1	Center	1	1	1
3530.12000	5.000	1	Center	1	1	1
